"Year","Month","Day","Temp_max","Temp_min","Precipitation","Humidity","Date"
2017,8,5,NA,NA,1,NA,2017-08-05
2017,8,6,NA,NA,21.9,NA,2017-08-06
2017,8,7,NA,NA,4.4,NA,2017-08-07
2017,8,8,NA,NA,6,NA,2017-08-08
2017,8,9,NA,NA,11.3,NA,2017-08-09
2017,8,10,NA,NA,5.9,NA,2017-08-10
2017,8,11,NA,NA,43.6,NA,2017-08-11
2017,8,12,NA,NA,18.2,NA,2017-08-12
2017,8,13,NA,NA,0.6,NA,2017-08-13
2017,8,14,NA,NA,7.2,NA,2017-08-14
2017,8,15,NA,NA,25.3,NA,2017-08-15
2017,8,16,NA,NA,1,NA,2017-08-16
2017,8,17,NA,NA,3,NA,2017-08-17
2017,8,18,NA,NA,17.1,NA,2017-08-18
2017,8,19,NA,NA,12.9,NA,2017-08-19
2017,8,20,NA,NA,7.9,NA,2017-08-20
2017,8,21,NA,NA,0.1,NA,2017-08-21
2017,8,22,NA,NA,17.4,NA,2017-08-22
2017,8,23,NA,NA,8,NA,2017-08-23
2017,8,24,NA,NA,3.6,NA,2017-08-24
2017,8,25,NA,NA,15,NA,2017-08-25
2017,8,26,NA,NA,0.1,NA,2017-08-26
2017,8,27,NA,NA,3.4,NA,2017-08-27
2017,8,28,NA,NA,28.6,NA,2017-08-28
2017,8,29,NA,NA,7.8,NA,2017-08-29
2017,8,30,NA,NA,40.7,NA,2017-08-30
2017,8,31,NA,NA,0.1,NA,2017-08-31
2017,9,1,NA,NA,0,NA,2017-09-01
2017,9,2,NA,NA,1.6,NA,2017-09-02
2017,9,3,NA,NA,5.7,NA,2017-09-03
2017,9,4,NA,NA,0.2,NA,2017-09-04
2017,9,5,NA,NA,5.5,NA,2017-09-05
2017,9,6,NA,NA,7,NA,2017-09-06
2017,9,7,NA,NA,42.4,NA,2017-09-07
2017,9,8,NA,NA,11.2,NA,2017-09-08
2017,9,9,NA,NA,11.4,NA,2017-09-09
2017,9,10,NA,NA,21,NA,2017-09-10
2017,9,11,NA,NA,1.1,NA,2017-09-11
2017,9,12,NA,NA,18.6,NA,2017-09-12
2017,9,13,NA,NA,5.5,NA,2017-09-13
2017,9,14,NA,NA,17.2,NA,2017-09-14
2017,9,15,NA,NA,12.4,NA,2017-09-15
2017,9,16,NA,NA,24,NA,2017-09-16
2017,9,17,NA,NA,12.6,NA,2017-09-17
2017,9,18,NA,NA,3.2,NA,2017-09-18
2017,9,19,NA,NA,24.6,NA,2017-09-19
2017,9,20,NA,NA,15.9,NA,2017-09-20
2017,9,21,NA,NA,1.3,NA,2017-09-21
2017,9,22,NA,NA,60.7,NA,2017-09-22
2017,9,23,NA,NA,5.6,NA,2017-09-23
2017,9,24,NA,NA,20.2,NA,2017-09-24
2017,9,25,NA,NA,25.9,NA,2017-09-25
2017,9,26,NA,NA,0.1,NA,2017-09-26
2017,9,27,NA,NA,5.7,NA,2017-09-27
2017,9,28,NA,NA,5.6,NA,2017-09-28
2017,9,29,NA,NA,23.3,NA,2017-09-29
2017,9,30,NA,NA,54,NA,2017-09-30
2017,9,31,NA,NA,NA,NA,NA
2017,10,1,NA,NA,3.9,NA,2017-10-01
2017,10,2,NA,NA,23.9,NA,2017-10-02
2017,10,3,NA,NA,61.7,NA,2017-10-03
2017,10,4,NA,NA,114.3,NA,2017-10-04
2017,10,5,NA,NA,64.1,NA,2017-10-05
2017,10,6,NA,NA,0.1,NA,2017-10-06
2017,10,7,NA,NA,0.4,NA,2017-10-07
2017,10,8,NA,NA,2.5,NA,2017-10-08
2017,10,9,NA,NA,4.2,NA,2017-10-09
2017,10,10,NA,NA,0,NA,2017-10-10
2017,10,11,NA,NA,1.9,NA,2017-10-11
2017,10,12,NA,NA,9.6,NA,2017-10-12
2017,10,13,NA,NA,5.2,NA,2017-10-13
2017,10,14,NA,NA,0.2,NA,2017-10-14
2017,10,15,NA,NA,10.3,NA,2017-10-15
2017,10,16,NA,NA,0.1,NA,2017-10-16
2017,10,17,NA,NA,0.1,NA,2017-10-17
2017,10,18,NA,NA,22,NA,2017-10-18
2017,10,19,NA,NA,0.4,NA,2017-10-19
2017,10,20,NA,NA,59.4,NA,2017-10-20
2017,10,21,NA,NA,30.8,NA,2017-10-21
2017,10,22,NA,NA,8.8,NA,2017-10-22
2017,10,23,NA,NA,77.6,NA,2017-10-23
2017,10,24,NA,NA,29.9,NA,2017-10-24
2017,10,25,NA,NA,20.1,NA,2017-10-25
2017,10,26,NA,NA,19.8,NA,2017-10-26
2017,10,27,NA,NA,7.8,NA,2017-10-27
2017,10,28,NA,NA,0.4,NA,2017-10-28
2017,10,29,NA,NA,1,NA,2017-10-29
2017,10,30,NA,NA,25.1,NA,2017-10-30
2017,10,31,NA,NA,5.2,NA,2017-10-31
2017,11,1,NA,NA,0.3,NA,2017-11-01
2017,11,2,NA,NA,8.8,NA,2017-11-02
2017,11,3,NA,NA,3.3,NA,2017-11-03
2017,11,4,NA,NA,7,NA,2017-11-04
2017,11,5,NA,NA,4.1,NA,2017-11-05
2017,11,6,NA,NA,3.1,NA,2017-11-06
2017,11,7,NA,NA,18.8,NA,2017-11-07
2017,11,8,NA,NA,20.9,NA,2017-11-08
2017,11,9,NA,NA,29,NA,2017-11-09
2017,11,10,NA,NA,3.8,NA,2017-11-10
2017,11,11,NA,NA,48.5,NA,2017-11-11
2017,11,12,NA,NA,18.6,NA,2017-11-12
2017,11,13,NA,NA,7.5,NA,2017-11-13
2017,11,14,NA,NA,4.9,NA,2017-11-14
2017,11,15,NA,NA,21,NA,2017-11-15
2017,11,16,NA,NA,13.8,NA,2017-11-16
2017,11,17,NA,NA,0.1,NA,2017-11-17
2017,11,18,NA,NA,42.1,NA,2017-11-18
2017,11,19,NA,NA,21.8,NA,2017-11-19
2017,11,20,NA,NA,13,NA,2017-11-20
2017,11,21,NA,NA,40.8,NA,2017-11-21
2017,11,22,NA,NA,20,NA,2017-11-22
2017,11,23,NA,NA,8.3,NA,2017-11-23
2017,11,24,NA,NA,28.7,NA,2017-11-24
2017,11,25,NA,NA,5.7,NA,2017-11-25
2017,11,26,NA,NA,31,NA,2017-11-26
2017,11,27,NA,NA,19.3,NA,2017-11-27
2017,11,28,NA,NA,23.5,NA,2017-11-28
2017,11,29,NA,NA,41.5,NA,2017-11-29
2017,11,30,NA,NA,1.2,NA,2017-11-30
2017,11,31,NA,NA,NA,NA,NA
2017,12,1,NA,NA,4.1,NA,2017-12-01
2017,12,2,NA,NA,1.8,NA,2017-12-02
2017,12,3,NA,NA,3.2,NA,2017-12-03
2017,12,4,NA,NA,3.9,NA,2017-12-04
2017,12,5,NA,NA,0.1,NA,2017-12-05
2017,12,6,NA,NA,0.6,NA,2017-12-06
2017,12,7,NA,NA,10.3,94,2017-12-07
2017,12,8,23.9,-9,0.4,96,2017-12-08
2017,12,9,26.1,18.7,0.2,93,2017-12-09
2017,12,10,27.4,18.4,13,97,2017-12-10
2017,12,11,22.3,18.1,2.3,96,2017-12-11
2017,12,12,24.4,18,2.7,92,2017-12-12
2017,12,13,26.8,17.6,0.7,93,2017-12-13
2017,12,14,27,17.4,0.1,92,2017-12-14
2017,12,15,26.8,16.7,0.1,83,2017-12-15
2017,12,16,28.3,15.9,0,89,2017-12-16
2017,12,17,27.2,16.9,0,75,2017-12-17
2017,12,18,29,15.9,0,76,2017-12-18
2017,12,19,28.7,16.1,0,83,2017-12-19
2017,12,20,28.5,17.4,0,88,2017-12-20
2017,12,21,28.4,16.3,0,82,2017-12-21
2017,12,22,29.2,15.9,0,90,2017-12-22
2017,12,23,26.5,17.7,0,81,2017-12-23
2017,12,24,29.2,16,0,86,2017-12-24
2017,12,25,27.7,17.3,0,82,2017-12-25
2017,12,26,28.5,16.5,4.2,82,2017-12-26
2017,12,27,27.5,15.9,0,87,2017-12-27
2017,12,28,26.8,17.1,32.7,93,2017-12-28
2017,12,29,25.6,17.7,0.1,91,2017-12-29
2017,12,30,27.1,17.9,0.7,91,2017-12-30
2017,12,31,26.8,18.2,8.6,93,2017-12-31
2018,1,1,26,17.1,0.6,91,2018-01-01
2018,1,2,27.5,17.4,23.1,91,2018-01-02
2018,1,3,27.3,17.6,7.2,94,2018-01-03
2018,1,4,25.7,18,2.7,91,2018-01-04
2018,1,5,26,18.2,2.5,93,2018-01-05
2018,1,6,26.6,18.2,0.4,92,2018-01-06
2018,1,7,27.2,18.2,7,94,2018-01-07
2018,1,8,26.4,18.3,11.1,93,2018-01-08
2018,1,9,26.3,18.8,26.9,92,2018-01-09
2018,1,10,27.6,17.7,23.8,92,2018-01-10
2018,1,11,26.7,18.4,30.4,95,2018-01-11
2018,1,12,26.9,18.8,25,94,2018-01-12
2018,1,13,27.5,17.4,2.2,90,2018-01-13
2018,1,14,28.2,17.1,1.9,86,2018-01-14
2018,1,15,27.6,18.4,4.5,94,2018-01-15
2018,1,16,25.7,17.6,2.9,93,2018-01-16
2018,1,17,26.2,17.4,12.6,94,2018-01-17
2018,1,18,26,18.1,13.5,95,2018-01-18
2018,1,19,25.5,17.6,0.1,88,2018-01-19
2018,1,20,28.6,18.1,0,92,2018-01-20
2018,1,21,27.6,18.1,0,82,2018-01-21
2018,1,22,29,17.8,0,84,2018-01-22
2018,1,23,28.4,18.3,13.1,90,2018-01-23
2018,1,24,28.7,17.6,0,89,2018-01-24
2018,1,25,27.8,17.3,0,83,2018-01-25
2018,1,26,28.7,16.7,0,86,2018-01-26
2018,1,27,29.5,17.5,0,81,2018-01-27
2018,1,28,29.2,17.1,0,85,2018-01-28
2018,1,29,29.1,17.6,0,83,2018-01-29
2018,1,30,28.7,17.2,0,81,2018-01-30
2018,1,31,29.3,17.4,0.2,86,2018-01-31
2018,2,1,29.1,17,0,81,2018-02-01
2018,2,2,30.3,18,0,76,2018-02-02
2018,2,3,29.4,16.2,0,80,2018-02-03
2018,2,4,29.2,16.8,0,67,2018-02-04
2018,2,5,30.8,17.1,0,69,2018-02-05
2018,2,6,30.1,15.9,0,74,2018-02-06
2018,2,7,29.8,16.9,0,73,2018-02-07
2018,2,8,30.6,16.8,0,72,2018-02-08
2018,2,9,29,16.1,0,76,2018-02-09
2018,2,10,29.4,18.2,16.7,84,2018-02-10
2018,2,11,29.6,17.5,0.6,85,2018-02-11
2018,2,12,29.6,18.4,0,80,2018-02-12
2018,2,13,29.8,17.2,0,59,2018-02-13
2018,2,14,30.2,15.3,0,57,2018-02-14
2018,2,15,30.1,16.2,0,67,2018-02-15
2018,2,16,30,17.3,0,79,2018-02-16
2018,2,17,30,17.3,0,79,2018-02-17
2018,2,18,29.3,18.3,0,78,2018-02-18
2018,2,19,29.5,17.3,0,68,2018-02-19
2018,2,20,29.9,16.8,0,71,2018-02-20
2018,2,21,30.1,16.7,0,76,2018-02-21
2018,2,22,29.6,17,0,71,2018-02-22
2018,2,23,31.2,16.9,3,72,2018-02-23
2018,2,24,30.5,16.9,6.3,76,2018-02-24
2018,2,25,30.1,16.8,0.1,74,2018-02-25
2018,2,26,29.3,16.4,0,78,2018-02-26
2018,2,27,29.8,17.2,0,73,2018-02-27
2018,2,28,29.8,16.4,0,72,2018-02-28
2018,2,29,NA,NA,NA,NA,NA
2018,2,30,NA,NA,NA,NA,NA
2018,2,31,NA,NA,NA,NA,NA
2018,3,1,31.4,16.8,0,67,2018-03-01
2018,3,2,30.2,16.6,0,64,2018-03-02
2018,3,3,30.3,16.8,0,69,2018-03-03
2018,3,4,30.4,16.6,0,73,2018-03-04
2018,3,5,30,16.9,0,74,2018-03-05
2018,3,6,30.1,17.7,0,78,2018-03-06
2018,3,7,29.3,18.8,0,72,2018-03-07
2018,3,8,30,17.8,0,72,2018-03-08
2018,3,9,30.1,18.2,0,78,2018-03-09
2018,3,10,30.1,18,0,78,2018-03-10
2018,3,11,30.7,18.9,0,82,2018-03-11
2018,3,12,32,19.4,3.3,87,2018-03-12
2018,3,13,30.5,18.7,3.3,88,2018-03-13
2018,3,14,30.6,18,2.5,88,2018-03-14
2018,3,15,28.5,18.4,0.1,80,2018-03-15
2018,3,16,31.2,19.1,0,75,2018-03-16
2018,3,17,32.4,18.1,0,77,2018-03-17
2018,3,18,32.3,19,0,83,2018-03-18
2018,3,19,29.3,17.9,0,81,2018-03-19
2018,3,20,31.4,18,0.8,82,2018-03-20
2018,3,21,30.4,19,0,78,2018-03-21
2018,3,22,30.7,17.3,0.4,58,2018-03-22
2018,3,23,28.8,-9,0,61,2018-03-23
2018,3,24,30.9,17.5,12.4,84,2018-03-24
2018,3,25,31.1,18,0,78,2018-03-25
2018,3,26,30.5,17.7,0,69,2018-03-26
2018,3,27,32.3,16.9,0,75,2018-03-27
2018,3,28,32.7,17.9,0,74,2018-03-28
2018,3,29,32.3,18,0,76,2018-03-29
2018,3,30,32,18.8,11.1,83,2018-03-30
2018,3,31,29.6,18.9,6,88,2018-03-31
2018,4,1,29.7,18.6,0,74,2018-04-01
2018,4,2,30.2,18.2,0.6,82,2018-04-02
2018,4,3,28.3,18.2,0,84,2018-04-03
2018,4,4,29.4,18.4,8.5,85,2018-04-04
2018,4,5,29.9,18.2,0,85,2018-04-05
2018,4,6,28.6,18.7,0.7,88,2018-04-06
2018,4,7,29,18.3,17.8,90,2018-04-07
2018,4,8,30.1,17.9,0,92,2018-04-08
2018,4,9,27.5,19,0,88,2018-04-09
2018,4,10,30.6,19.4,0,89,2018-04-10
2018,4,11,28.1,18.6,0,95,2018-04-11
2018,4,12,24.4,17,0,88,2018-04-12
2018,4,13,27.1,19.3,0,96,2018-04-13
2018,4,14,25.7,17.8,0,90,2018-04-14
2018,4,15,27.4,19.1,0,92,2018-04-15
2018,4,16,27.4,18.2,0,85,2018-04-16
2018,4,17,28.8,20,7.3,91,2018-04-17
2018,4,18,28.9,18.4,39.5,91,2018-04-18
2018,4,19,27.5,18.8,0.8,84,2018-04-19
2018,4,20,29.5,18.7,0.2,85,2018-04-20
2018,4,21,30,19.1,0,87,2018-04-21
2018,4,22,28.5,19.7,8.9,90,2018-04-22
2018,4,23,27.6,19.7,0,91,2018-04-23
2018,4,24,28.7,19.3,18.6,87,2018-04-24
2018,4,25,29.2,19.6,24.3,92,2018-04-25
2018,4,26,29.1,19.1,26.6,95,2018-04-26
2018,4,27,26.1,18.8,24.3,94,2018-04-27
2018,4,28,25.3,17.7,3.8,84,2018-04-28
2018,4,29,30.1,18.6,19,93,2018-04-29
2018,4,30,27.7,18.8,4.5,93,2018-04-30
2018,4,31,NA,NA,NA,NA,NA
2018,5,1,26.1,17.4,0,87,2018-05-01
2018,5,2,27.9,18.1,3.9,84,2018-05-02
2018,5,3,28.8,19.7,0,89,2018-05-03
2018,5,4,27.3,18.8,8.7,88,2018-05-04
2018,5,5,28.1,18.5,23.9,92,2018-05-05
2018,5,6,26,18.6,0,88,2018-05-06
2018,5,7,28.1,18.8,10.1,92,2018-05-07
2018,5,8,26.9,19.1,34.9,93,2018-05-08
2018,5,9,29.3,17.9,4.3,87,2018-05-09
2018,5,10,29.1,19.2,1.6,93,2018-05-10
2018,5,11,26.6,18.3,1.9,91,2018-05-11
2018,5,12,29.2,18.9,8.6,94,2018-05-12
2018,5,13,26.8,18.6,43.4,92,2018-05-13
2018,5,14,27.7,17.3,3,88,2018-05-14
2018,5,15,29.9,18.9,13.8,93,2018-05-15
2018,5,16,28,18.6,12.7,96,2018-05-16
2018,5,17,26.7,18.4,28.9,93,2018-05-17
2018,5,18,27.6,19.5,67.4,96,2018-05-18
2018,5,19,25.9,18.4,26.3,89,2018-05-19
2018,5,20,25.9,18.1,23.3,93,2018-05-20
2018,5,21,25.8,18,49.7,95,2018-05-21
2018,5,22,25.8,18.3,8,94,2018-05-22
2018,5,23,25.6,18.7,30.3,95,2018-05-23
2018,5,24,26.6,18.5,0.1,91,2018-05-24
2018,5,25,28.5,19.7,14.2,93,2018-05-25
2018,5,26,27,19.1,32,96,2018-05-26
2018,5,27,26.1,18.4,5.8,94,2018-05-27
2018,5,28,25.3,19.1,4.3,90,2018-05-28
2018,5,29,29.2,19.3,15.2,95,2018-05-29
2018,5,30,25.6,19.2,0.7,92,2018-05-30
2018,5,31,28.7,20,3.2,94,2018-05-31
2018,6,1,27.4,18.8,23.9,94,2018-06-01
2018,6,2,26.9,19.6,8.3,97,2018-06-02
2018,6,3,26.1,18.6,18.3,92,2018-06-03
2018,6,4,28.5,19.6,9.4,93,2018-06-04
2018,6,5,26.8,20.1,0.9,90,2018-06-05
2018,6,6,29.2,19.9,14,96,2018-06-06
2018,6,7,26.8,19.4,20.4,95,2018-06-07
2018,6,8,26.9,19,9.4,92,2018-06-08
2018,6,9,27.4,19.4,1.2,90,2018-06-09
2018,6,10,27.8,18.9,2.8,87,2018-06-10
2018,6,11,26.7,19.1,1.9,90,2018-06-11
2018,6,12,27.9,18.5,0.1,91,2018-06-12
2018,6,13,27.4,20,5.4,93,2018-06-13
2018,6,14,27,20,45.8,94,2018-06-14
2018,6,15,28.6,17.5,7.4,87,2018-06-15
2018,6,16,27,17.8,9.4,92,2018-06-16
2018,6,17,25.9,18.5,26.5,92,2018-06-17
2018,6,18,27.6,18.3,7.4,90,2018-06-18
2018,6,19,29.7,18.2,3.6,92,2018-06-19
2018,6,20,26.4,18.1,23.1,89,2018-06-20
2018,6,21,28,17.5,11.1,92,2018-06-21
2018,6,22,20.4,-9,0.1,90,2018-06-22
2018,6,23,27.7,19.6,24.5,92,2018-06-23
2018,6,24,27.3,18.4,0.2,92,2018-06-24
2018,6,25,27.5,18.3,0,88,2018-06-25
2018,6,26,26,17.7,40.9,91,2018-06-26
2018,6,27,27.5,17.3,1.7,90,2018-06-27
2018,6,28,26.4,19.2,27,96,2018-06-28
2018,6,29,25.4,18.2,5.7,94,2018-06-29
2018,6,30,26.2,18.5,2.8,95,2018-06-30
2018,6,31,NA,NA,NA,NA,NA
2018,7,1,25.5,18.6,42.7,94,2018-07-01
2018,7,2,26.6,17.8,2.9,91,2018-07-02
2018,7,3,25.9,18.1,0.2,89,2018-07-03
2018,7,4,26.9,18.9,0.4,91,2018-07-04
2018,7,5,28,19.3,6.3,91,2018-07-05
2018,7,6,27.1,19.6,11.2,94,2018-07-06
2018,7,7,26.5,18.3,0,94,2018-07-07
2018,7,8,23.8,17.5,0,90,2018-07-08
2018,7,9,26.8,18.8,0,91,2018-07-09
2018,7,10,28,20.3,5.1,92,2018-07-10
2018,7,11,29.2,18.1,0.1,91,2018-07-11
2018,7,12,24.4,17.6,0,89,2018-07-12
2018,7,13,28.8,18.7,7.1,91,2018-07-13
2018,7,14,27,18.1,37.2,90,2018-07-14
2018,7,15,29,18.3,0.4,91,2018-07-15
2018,7,16,27.3,19.7,3.8,93,2018-07-16
2018,7,17,26,18.1,27.8,93,2018-07-17
2018,7,18,26.9,18.7,8.9,93,2018-07-18
2018,7,19,29.1,17.8,4.4,92,2018-07-19
2018,7,20,28,19.2,30.8,95,2018-07-20
2018,7,21,26.5,19.7,1.3,94,2018-07-21
2018,7,22,25.4,19.6,32.1,94,2018-07-22
2018,7,23,26.2,18.5,14.8,90,2018-07-23
2018,7,24,27.2,18.9,9,94,2018-07-24
2018,7,25,25.4,19.9,21.9,94,2018-07-25
2018,7,26,26.7,18.7,0.8,91,2018-07-26
2018,7,27,26.2,18.6,17.9,94,2018-07-27
2018,7,28,26.4,18.3,16.8,95,2018-07-28
2018,7,29,25.7,17.8,31.4,94,2018-07-29
2018,7,30,27.5,18.7,2.2,93,2018-07-30
2018,7,31,24.4,17.8,0.3,90,2018-07-31
2018,8,1,27.4,19,5.5,95,2018-08-01
2018,8,2,25.5,17.6,16.1,93,2018-08-02
2018,8,3,26.6,16.9,5.9,91,2018-08-03
2018,8,4,25.7,18.1,0,90,2018-08-04
2018,8,5,26.9,17.6,30.5,89,2018-08-05
2018,8,6,27.1,18.7,3.5,93,2018-08-06
2018,8,7,27.2,19.3,2.1,95,2018-08-07
2018,8,8,27,19.2,0,90,2018-08-08
2018,8,9,27.6,20,25.5,94,2018-08-09
2018,8,10,26.8,18.1,0.5,91,2018-08-10
2018,8,11,28.5,19,1.4,92,2018-08-11
2018,8,12,28.1,19.4,0.2,88,2018-08-12
2018,8,13,30.2,19.7,18.9,94,2018-08-13
2018,8,14,27.9,18.3,18,93,2018-08-14
2018,8,15,25,17.2,12,91,2018-08-15
2018,8,16,25.9,18,1.9,89,2018-08-16
2018,8,17,27.5,18.9,0.2,91,2018-08-17
2018,8,18,26.6,18.8,0.3,92,2018-08-18
2018,8,19,27,18.2,7.6,94,2018-08-19
2018,8,20,27.1,18.4,0,89,2018-08-20
2018,8,21,27.3,19.4,0,89,2018-08-21
2018,8,22,29.6,19.6,4.8,88,2018-08-22
2018,8,23,29.6,18.1,17.6,91,2018-08-23
2018,8,24,27,19.2,21.2,94,2018-08-24
2018,8,25,26.1,18.4,4.7,91,2018-08-25
2018,8,26,27.4,18.4,13.7,92,2018-08-26
2018,8,27,25.4,17.3,3.1,90,2018-08-27
2018,8,28,26.1,19.4,14.5,95,2018-08-28
2018,8,29,26,18.6,14.9,92,2018-08-29
2018,8,30,25.4,18.4,0.8,91,2018-08-30
2018,8,31,26.2,17.8,0,91,2018-08-31
2018,9,1,26.8,18.2,37.9,94,2018-09-01
2018,9,2,26.9,17.7,0.7,92,2018-09-02
2018,9,3,26.9,19.2,0,91,2018-09-03
2018,9,4,27.5,19.2,5.6,93,2018-09-04
2018,9,5,25.9,18.4,18.1,88,2018-09-05
2018,9,6,26.5,17.4,37.9,91,2018-09-06
2018,9,7,28.3,17.5,32.7,91,2018-09-07
2018,9,8,28.1,18.3,5.4,92,2018-09-08
2018,9,9,27.3,17,14.9,90,2018-09-09
2018,9,10,28.8,17.2,0.6,85,2018-09-10
2018,9,11,28.7,18.9,34.5,96,2018-09-11
2018,9,12,26.4,18,17.5,93,2018-09-12
2018,9,13,26.8,18.2,14.4,93,2018-09-13
2018,9,14,25.8,18.8,17.4,93,2018-09-14
2018,9,15,24.9,18,5.4,91,2018-09-15
2018,9,16,27.4,17.9,11,89,2018-09-16
2018,9,17,28.4,17.6,28.1,94,2018-09-17
2018,9,18,27,18.4,1.8,93,2018-09-18
2018,9,19,25.8,18.8,2.2,93,2018-09-19
2018,9,20,25.7,19,6.1,95,2018-09-20
2018,9,21,26.4,18.7,12,94,2018-09-21
2018,9,22,26.9,18.7,0.4,92,2018-09-22
2018,9,23,27.5,19.9,36.1,96,2018-09-23
2018,9,24,28.2,18.4,55.8,96,2018-09-24
2018,9,25,25.6,18.3,3.2,88,2018-09-25
2018,9,26,27.9,18,22.7,94,2018-09-26
2018,9,27,26.4,18.4,3.3,87,2018-09-27
2018,9,28,27.1,17.7,16.1,95,2018-09-28
2018,9,29,25.5,18.6,14.2,93,2018-09-29
2018,9,30,27.9,18.3,23.6,94,2018-09-30
2018,9,31,NA,NA,NA,NA,NA
2018,10,1,27.2,17.7,12.8,93,2018-10-01
2018,10,2,27.6,18.8,32.9,95,2018-10-02
2018,10,3,26.5,18.6,13.2,96,2018-10-03
2018,10,4,24.6,18.4,16.5,97,2018-10-04
2018,10,5,22.7,18,62.5,99,2018-10-05
2018,10,6,19.6,14.9,0,82,2018-10-06
2018,10,7,25.3,17.7,0,89,2018-10-07
2018,10,8,27.3,18.3,23.7,91,2018-10-08
2018,10,9,28.1,18.8,69.4,96,2018-10-09
2018,10,10,25.4,18.9,17.5,94,2018-10-10
2018,10,11,25.8,19.3,32.2,96,2018-10-11
2018,10,12,26.2,18.4,26.1,98,2018-10-12
2018,10,13,24.1,18.6,24.1,98,2018-10-13
2018,10,14,22.6,18.5,24,95,2018-10-14
2018,10,15,27.3,18.7,27.7,96,2018-10-15
2018,10,16,25.2,18.5,20.4,97,2018-10-16
2018,10,17,23.6,18.3,2.6,95,2018-10-17
2018,10,18,24.3,18,1.4,93,2018-10-18
2018,10,19,26.4,17.3,3.8,94,2018-10-19
2018,10,20,26.7,18.4,28,94,2018-10-20
2018,10,21,26.4,18.5,60.1,97,2018-10-21
2018,10,22,25.1,18,13,95,2018-10-22
2018,10,23,26.1,17.6,8.7,90,2018-10-23
2018,10,24,29.3,18.5,13.5,94,2018-10-24
2018,10,25,26.9,18.6,14.6,97,2018-10-25
2018,10,26,27.8,19.4,27.4,96,2018-10-26
